"table_name","table_id","field_id","current_name","field_type","record_count","blank_count","nonblank_count","blank_ratio","proposed_name","action","category","reason"
"dcoir-memory-preflight","tblcNNuKqi8IkFsSQ","fldO1vEnBL2Yhuvm7","anti_patterns","multilineText","29","0","29","0",,"no_change",,
"dcoir-memory-preflight","tblcNNuKqi8IkFsSQ","fldrLg8uOgPl6CHSx","required_verification","multilineText","29","0","29","0",,"no_change",,
"dcoir-memory-preflight","tblcNNuKqi8IkFsSQ","fldSWtvOK7mNAkTeO","buffered_candidate","multilineText","29","0","29","0",,"no_change",,
"dcoir-memory-preflight","tblcNNuKqi8IkFsSQ","fld1BaL5xOzcsNC0b","last_confirmed_text","singleLineText","29","0","29","0",,"no_change",,
"dcoir-memory-preflight","tblcNNuKqi8IkFsSQ","fldipvMJdEJuHiaYP","created_at","dateTime","29","7","22","0.2414",,"no_change",,
"dcoir-memory-preflight","tblcNNuKqi8IkFsSQ","fldo6bm7xGMXB6P6E","updated_at","dateTime","29","7","22","0.2414",,"no_change",,
"dcoir-memory-preflight","tblcNNuKqi8IkFsSQ","fldo6Uyl76ChI5uwd","review_after","date","29","3","26","0.1034",,"no_change",,
"dcoir-memory-preflight","tblcNNuKqi8IkFsSQ","fldEG5XzJh9z0E4Rt","invocation_mode","singleSelect","29","11","18","0.3793",,"no_change",,
"dcoir-memory-preflight","tblcNNuKqi8IkFsSQ","fldM7jkNeUM03MDpg","status","singleSelect","29","0","29","0",,"no_change",,
"dcoir-memory-preflight","tblcNNuKqi8IkFsSQ","fldtjVIBDb2KebCeH","retention_class","singleSelect","29","0","29","0",,"no_change",,
"dcoir-memory-preflight","tblcNNuKqi8IkFsSQ","fld4YP1bJ5Gtxfgis","task_family","singleSelect","29","12","17","0.4138",,"no_change",,
"dcoir-validation-orchestrator","tbls9O1B0Rs8YvTAj","fld3zLfGs468eOrai","validation_entry_id","singleLineText","6","0","6","0",,"no_change",,
"dcoir-validation-orchestrator","tbls9O1B0Rs8YvTAj","fldu90QetmVAGMPg7","active_validation_plan","multilineText","6","0","6","0",,"no_change",,
"dcoir-validation-orchestrator","tbls9O1B0Rs8YvTAj","fldM9FoBQuFxkRtke","evidence_threshold","multilineText","6","0","6","0",,"no_change",,
"dcoir-validation-orchestrator","tbls9O1B0Rs8YvTAj","fldl8hJwbfTd6CIqf","unresolved_gap","multilineText","6","0","6","0",,"no_change",,
"dcoir-validation-orchestrator","tbls9O1B0Rs8YvTAj","fldJoGbCSFMhaJcXm","live_readiness_gate","multilineText","6","0","6","0",,"no_change",,
"dcoir-validation-orchestrator","tbls9O1B0Rs8YvTAj","fldcowj0yJ4FehXvs","next_action","multilineText","6","0","6","0",,"no_change",,
"dcoir-validation-orchestrator","tbls9O1B0Rs8YvTAj","fldUda6eDNofM1uJz","last_confirmed_text","singleLineText","6","0","6","0",,"no_change",,
"dcoir-validation-orchestrator","tbls9O1B0Rs8YvTAj","fldkHJlkJs4ayOjH2","created_at","dateTime","6","1","5","0.1667",,"no_change",,
"dcoir-validation-orchestrator","tbls9O1B0Rs8YvTAj","fldk4YCtGhqG7WSXX","updated_at","dateTime","6","1","5","0.1667",,"no_change",,
"dcoir-validation-orchestrator","tbls9O1B0Rs8YvTAj","fldKlyzAcj7Q5kEI4","review_after","date","6","1","5","0.1667",,"no_change",,
"dcoir-validation-orchestrator","tbls9O1B0Rs8YvTAj","fldyAQecWjCgKB2ix","validation_scope","multipleSelects","6","2","4","0.3333",,"no_change",,
"dcoir-validation-orchestrator","tbls9O1B0Rs8YvTAj","fldzOLipJQKiCcW4m","status","singleSelect","6","0","6","0",,"no_change",,
"dcoir-validation-orchestrator","tbls9O1B0Rs8YvTAj","fldbRVqoWt9fjR7o5","retention_class","singleSelect","6","0","6","0",,"no_change",,
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","fldaBJ8P6m2ARMoLz","scaffold_key","singleLineText","0","0","0","0",,"no_change",,
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","fldR2HGAtC55Ss4Ri","plan_key","singleLineText","0","0","0","0",,"no_change",,
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","fld45yLe1QIoXgZE3","scaffold_name","singleLineText","0","0","0","0",,"no_change",,
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","fldIHPy7ApnjSCeIl","scaffold_type","singleSelect","0","0","0","0",,"no_change",,
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","fldfAXpeTuN5M2QRS","status","singleSelect","0","0","0","0",,"no_change",,
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","flddBvbBqkOZeymHo","purpose","multilineText","0","0","0","0",,"no_change",,
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","fldypiTz3N1dBIfk9","created_surface","singleLineText","0","0","0","0",,"no_change",,
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","fldkqvHbdb30pCPJb","created_locator","singleLineText","0","0","0","0",,"no_change",,
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","flduyr5lvHAtwhrJd","final_disposition","singleSelect","0","0","0","0",,"no_change",,
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","fldLxQJcSQCwuw6O0","review_after","date","0","0","0","0",,"no_change",,
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","fldkYJX6QGOrpPR7K","notes","multilineText","0","0","0","0",,"no_change",,
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","fldxysOTwPhA0fk9b","wbs_key","singleLineText","73","0","73","0",,"no_change",,
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","fldKoseZ9P1hPUzgh","plan_key","singleLineText","73","0","73","0",,"no_change",,
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","fldUcO6yamUW9Yr0R","wbs_path","singleLineText","73","0","73","0",,"no_change",,
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","fldxbbxdH7Mdishkr","parent_wbs_key","singleLineText","73","14","59","0.1918",,"no_change",,
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","fldykxehl6sMTigk4","rank","number","73","0","73","0",,"no_change",,
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","fldjutcnESO7o1XQv","title","singleLineText","73","0","73","0",,"no_change",,
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","fldf9wxS1NQ4zETgi","level","singleSelect","73","0","73","0",,"no_change",,
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","fldLu2C5uWd7yYEb4","surface","singleSelect","73","0","73","0",,"no_change",,
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","fld627GL9W2hnoDa5","state","singleSelect","73","0","73","0",,"no_change",,
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","fldW9aLKqVnENDY4Q","gate","singleSelect","73","0","73","0",,"no_change",,
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","fldXVwq1qFrDeK4eO","target","singleLineText","73","0","73","0",,"no_change",,
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","fldkRdSblu5KLeqch","done_criteria","multilineText","73","0","73","0",,"no_change",,
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","fldBWgf90H3Ja8kQU","validation_notes","multilineText","73","0","73","0",,"no_change",,
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","fld3IwH6VYmFqnywU","context","multilineText","73","0","73","0",,"no_change",,
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","flds2ogisonqEFdwd","review_after","date","73","72","1","0.9863",,"no_change",,
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","fldNRKXl6S4DtQYl9","display_label","formula","73","0","73","0",,"no_change",,
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","fldBlzFZdvzMsovDJ","search_text","formula","73","0","73","0",,"no_change",,
"DCOIR Lifecycle Ledger","tblNsjkGUUIdRpHuE","fldan2IfSl6NUJbre","event_key","singleLineText","35","0","35","0",,"no_change",,
"DCOIR Lifecycle Ledger","tblNsjkGUUIdRpHuE","fld3eMKRitqiB7UCI","source_table","singleLineText","35","0","35","0",,"no_change",,
"DCOIR Lifecycle Ledger","tblNsjkGUUIdRpHuE","fldYjWKeshXjIhk01","source_record_id","singleLineText","35","11","24","0.3143",,"no_change",,
"DCOIR Lifecycle Ledger","tblNsjkGUUIdRpHuE","fldzHtFYirKcF1VC9","source_primary_key","singleLineText","35","0","35","0",,"no_change",,
"DCOIR Lifecycle Ledger","tblNsjkGUUIdRpHuE","fld1HWFI97H1M1ljH","event_at","dateTime","35","0","35","0",,"no_change",,
"DCOIR Lifecycle Ledger","tblNsjkGUUIdRpHuE","fld6eqmAUYcckufGW","event_title","singleLineText","35","0","35","0",,"no_change",,
"DCOIR Lifecycle Ledger","tblNsjkGUUIdRpHuE","fldCWFMJfTQpVKfRz","event_summary","multilineText","35","0","35","0",,"no_change",,
"DCOIR Lifecycle Ledger","tblNsjkGUUIdRpHuE","fldX6hpz9jSW5E0yo","payload_json","multilineText","35","12","23","0.3429",,"no_change",,
"DCOIR Lifecycle Ledger","tblNsjkGUUIdRpHuE","fldTdi6UQmIUJkXDE","created_at","dateTime","35","0","35","0",,"no_change",,
"DCOIR Lifecycle Ledger","tblNsjkGUUIdRpHuE","fldmjyUUvmuhdjVqt","lifecycle_object_type","singleSelect","35","0","35","0",,"no_change",,
"DCOIR Lifecycle Ledger","tblNsjkGUUIdRpHuE","fldi4yVheKgg8xwNa","lifecycle_stage","singleSelect","35","0","35","0",,"no_change",,
"DCOIR Lifecycle Ledger","tblNsjkGUUIdRpHuE","fldIFohnL2jBl20U6","migration_status","singleSelect","35","0","35","0",,"no_change",,
"DCOIR Lifecycle Ledger","tblNsjkGUUIdRpHuE","fldfrl84PTHLzqFub","retention_class","singleSelect","35","0","35","0",,"no_change",,
"Gemini Research Reference","tblfZnARJxcMJ0yHW","fldGLs65ATp15iGfO","finding_key","singleLineText","76","0","76","0",,"no_change",,
"Gemini Research Reference","tblfZnARJxcMJ0yHW","fldH0t18dHVNkfTrA","legacy_research_batch_review","singleLineText","76","0","76","0",,"no_change",,
"Gemini Research Reference","tblfZnARJxcMJ0yHW","fld8nTNL99aiCMSyq","finding_summary","multilineText","76","0","76","0",,"no_change",,
"Gemini Research Reference","tblfZnARJxcMJ0yHW","fldPon259A7P8IZar","consult_when","multilineText","76","0","76","0",,"no_change",,
"Gemini Research Reference","tblfZnARJxcMJ0yHW","fldceAbvUbG42Qo9K","design_impact","multilineText","76","0","76","0",,"no_change",,
"Gemini Research Reference","tblfZnARJxcMJ0yHW","fldqIFVWdW5stmfUZ","source_basis","multilineText","76","0","76","0",,"no_change",,
"Gemini Research Reference","tblfZnARJxcMJ0yHW","fld1BQvq7DG5o9iUR","active","checkbox","76","0","76","0",,"no_change",,
"Gemini Research Reference","tblfZnARJxcMJ0yHW","fldfhiYkFhZWadt03","created_at","dateTime","76","0","76","0",,"no_change",,
"Gemini Research Reference","tblfZnARJxcMJ0yHW","fldibxaCxGKp8KcH8","updated_at","dateTime","76","0","76","0",,"no_change",,
"Gemini Research Reference","tblfZnARJxcMJ0yHW","fldE1mYfn4SPMvwz0","review_after","date","76","0","76","0",,"no_change",,
"Gemini Research Reference","tblfZnARJxcMJ0yHW","fldh60UrFOdx2Yxif","topic","singleSelect","76","4","72","0.0526",,"no_change",,
"Gemini Research Reference","tblfZnARJxcMJ0yHW","fldFlFkbBzoPxDsHb","surface_layers","multipleSelects","76","4","72","0.0526",,"no_change",,
"Gemini Research Reference","tblfZnARJxcMJ0yHW","fldM1YyGfuDsqNKLm","evidence_class","singleSelect","76","4","72","0.0526",,"no_change",,
"Gemini Research Reference","tblfZnARJxcMJ0yHW","fldBEZ6Yf0QgfSGCI","dcoir_gemini_lanes","multipleSelects","76","4","72","0.0526",,"no_change",,
"Gemini Research Reference","tblfZnARJxcMJ0yHW","fldtJXiABITIQ7ERY","retention_class","singleSelect","76","0","76","0",,"no_change",,
"Gemini Research Reference","tblfZnARJxcMJ0yHW","fld76GQAQ03B1sQW8","research_batch_select","singleSelect","76","0","76","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldZz29bykYFsFzbl","workflow_key","singleLineText","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldtAGFwU8MfEzfNI","workflow_file_stem","singleLineText","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldIgvJQIXXc2f22j","workflow_name","singleLineText","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldA6O7FlW9tUEFW5","repo_path","singleLineText","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","flddMiMhIe5Eg4FqZ","workflow_family","singleSelect","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","flder86QaKiBMy0Yg","status","singleSelect","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fld2RN9svVJSSOLsv","trigger_family","singleSelect","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldr293ymxflSjihZ","routing_owner_skill","singleSelect","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldeUhR746eIPzqHM","active","checkbox","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldzzEs07tV97F4Mb","use_when","multilineText","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldNGAE9cbd9YSYzz","avoid_when","multilineText","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldcHZ83PpVZ3CH3x","dispatch_inputs_summary","multilineText","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","flddbLErdH4zmhVoq","trigger_summary","multilineText","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldWNrJxYDysrEvAP","runtime_dependencies","multilineText","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldyltqpE8yeCz5sX","readback_summary","multilineText","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldFAQAmx5EiUdOAQ","safety_notes","multilineText","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldnGuhX7a0PUSRWc","maintenance_notes","multilineText","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldo3dDxCj99CX9cT","cache_scope","singleSelect","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldN6NFgv7HUCROH0","retention_class","singleSelect","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldxcTxDPU87CjhCI","source_snapshot","singleLineText","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fld01gNq1B7F12kdh","created_at","dateTime","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldZLqo3NADSTBSeI","updated_at","dateTime","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldhfcwoRfNHkL1ya","legacy_review_after_date_review","date","24","24","0","1",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldpCWeBP7ZEstDnm","workflow_seq_auto","autoNumber","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldMKLP7OraKLpuC4","workflow_key_native","formula","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldZ3VbrmXoyD616A","display_label","formula","24","0","24","0",,"no_change",,
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldjIJZE5k5m95Jug","search_text","formula","24","0","24","0",,"no_change",,
"Governance Control Plane","tblDfSl29psxRnes1","fldQhD5Vd3e85yFbX","control_key","singleLineText","1","0","1","0",,"no_change",,
"Governance Control Plane","tblDfSl29psxRnes1","fldaFox5zRxkvWPyJ","workspace_model","singleLineText","1","0","1","0",,"no_change",,
"Governance Control Plane","tblDfSl29psxRnes1","fldjYqVrXghZjwS5P","authority_order","singleLineText","1","0","1","0",,"no_change",,
"Governance Control Plane","tblDfSl29psxRnes1","fldLdEs3aHXu2NNMT","startup_chain","multilineText","1","0","1","0",,"no_change",,
"Governance Control Plane","tblDfSl29psxRnes1","fldRk2eHMppnDB4SV","live_queue_authority","checkbox","1","0","1","0",,"no_change",,
"Governance Control Plane","tblDfSl29psxRnes1","fldoXEqxa7iGIVJBM","repo_role_definition","multilineText","1","0","1","0",,"no_change",,
"Governance Control Plane","tblDfSl29psxRnes1","fldKQR9N2GJoE0K5O","retained_repo_surfaces","multilineText","1","0","1","0",,"no_change",,
"Governance Control Plane","tblDfSl29psxRnes1","fldKuMS6GRkwO4JVP","project_attachment_set","multilineText","1","0","1","0",,"no_change",,
"Governance Control Plane","tblDfSl29psxRnes1","fldgvNVrcuzz15G2K","last_confirmed_text","singleLineText","1","0","1","0",,"no_change",,
"Governance Control Plane","tblDfSl29psxRnes1","fldQY0mU3gCwbH1Kz","created_at","dateTime","1","0","1","0",,"no_change",,
"Governance Control Plane","tblDfSl29psxRnes1","fldifX7PSJntG1BzN","updated_at","dateTime","1","0","1","0",,"no_change",,
"Governance Control Plane","tblDfSl29psxRnes1","fld1xDqO9JORIhus0","review_after","date","1","0","1","0",,"no_change",,
"Governance Control Plane","tblDfSl29psxRnes1","fldtR5RIhapElNHkL","status","singleSelect","1","0","1","0",,"no_change",,
"Governance Control Plane","tblDfSl29psxRnes1","fldNUBsJEAEIjydC9","retention_class","singleSelect","1","0","1","0",,"no_change",,
"Idea Inbox","tblWwBxwrjZF6JR3r","fldw9aHrMeikj4hfl","idea_id","singleLineText","9","0","9","0",,"no_change",,
"Idea Inbox","tblWwBxwrjZF6JR3r","fldpk5jwntA5NbP2o","session_id","singleLineText","9","3","6","0.3333",,"no_change",,
"Idea Inbox","tblWwBxwrjZF6JR3r","fldBoCtxFV4h7pEuk","idea_title","singleLineText","9","0","9","0",,"no_change",,
"Idea Inbox","tblWwBxwrjZF6JR3r","fldzzj6i4nkc71XGk","idea_detail","multilineText","9","0","9","0",,"no_change",,
"Idea Inbox","tblWwBxwrjZF6JR3r","fldE3T2c2G49Klwkj","why_it_matters","multilineText","9","0","9","0",,"no_change",,
"Idea Inbox","tblWwBxwrjZF6JR3r","fld3NZy5ie7LqkQjl","suggested_promotion_target","singleLineText","9","1","8","0.1111",,"no_change",,
"Idea Inbox","tblWwBxwrjZF6JR3r","fldKuWN9I5bFA0BEg","notes","multilineText","9","0","9","0",,"no_change",,
"Idea Inbox","tblWwBxwrjZF6JR3r","fldyhuC1RXb6TQBu3","github_promotion_completed","checkbox","9","9","0","1",,"no_change",,
"Idea Inbox","tblWwBxwrjZF6JR3r","fldXRAz2DLHzOQmK2","legacy_source_checkpoint_id_review","singleLineText","9","9","0","1",,"no_change",,
"Idea Inbox","tblWwBxwrjZF6JR3r","fldpo06Fc9RlbOSsE","created_at","dateTime","9","6","3","0.6667",,"no_change",,
"Idea Inbox","tblWwBxwrjZF6JR3r","fldgJDxvK2TNoBPek","updated_at","dateTime","9","6","3","0.6667",,"no_change",,
"Idea Inbox","tblWwBxwrjZF6JR3r","fldNf0eW4kjZKYQHM","review_after","date","9","4","5","0.4444",,"no_change",,
"Idea Inbox","tblWwBxwrjZF6JR3r","fldAr98ivbOfxmphP","captured_at","dateTime","9","3","6","0.3333",,"no_change",,
"Idea Inbox","tblWwBxwrjZF6JR3r","fldHoHTIXhA0SBMgP","related_area","singleSelect","9","2","7","0.2222",,"no_change",,
"Idea Inbox","tblWwBxwrjZF6JR3r","fldghObs99ambfB4k","status","singleSelect","9","0","9","0",,"no_change",,
"Idea Inbox","tblWwBxwrjZF6JR3r","fldwZA7gM6qRYWhOg","retention_class","singleSelect","9","0","9","0",,"no_change",,
"Local Configuration Registry","tblcJxCoYGpEda0FM","fldgvebuhkPWN63dP","config_name","singleLineText","9","0","9","0",,"no_change",,
"Local Configuration Registry","tblcJxCoYGpEda0FM","fldRlfxBfqpwPwXMy","purpose","multilineText","9","0","9","0",,"no_change",,
"Local Configuration Registry","tblcJxCoYGpEda0FM","fldTaIJPM34ETSMhO","reference_powershell","singleLineText","9","0","9","0",,"no_change",,
"Local Configuration Registry","tblcJxCoYGpEda0FM","fldBe6nhMuCoP4LU9","sensitive_value","checkbox","9","4","5","0.4444",,"no_change",,
"Local Configuration Registry","tblcJxCoYGpEda0FM","fldu0ZYs5wTbSPG9T","safe_to_display","checkbox","9","5","4","0.5556",,"no_change",,
"Local Configuration Registry","tblcJxCoYGpEda0FM","fld2j1MuM5R4PSIAU","confirmed_present","checkbox","9","0","9","0",,"no_change",,
"Local Configuration Registry","tblcJxCoYGpEda0FM","fld9Me3HQ0WBhtCRy","config_kind","singleSelect","9","0","9","0",,"no_change",,
"Local Configuration Registry","tblcJxCoYGpEda0FM","fldfpNwx3rC2wPB8R","status","singleSelect","9","0","9","0",,"no_change",,
"Local Configuration Registry","tblcJxCoYGpEda0FM","fldr3eoZdPQur0CyH","last_confirmed_at","dateTime","9","0","9","0",,"no_change",,
"Local Configuration Registry","tblcJxCoYGpEda0FM","fldtMxURvbC15vj0I","notes","multilineText","9","0","9","0",,"no_change",,
"Local Configuration Registry","tblcJxCoYGpEda0FM","fldhHZWvARzcA29Pl","reference_cmd","singleLineText","9","0","9","0",,"no_change",,
"Local Configuration Registry","tblcJxCoYGpEda0FM","fldoK49SNnwmhk0Sr","reference_wsl_bash","singleLineText","9","0","9","0",,"no_change",,
"Local Configuration Registry","tblcJxCoYGpEda0FM","fld63L4Y25hjaZTjL","reference_python","singleLineText","9","0","9","0",,"no_change",,
"Local Configuration Registry","tblcJxCoYGpEda0FM","fldlpKq9sJAX6R2ZE","reference_additional_runtimes_json","multilineText","9","2","7","0.2222",,"no_change",,
"Operator Preferences","tblnxZ3eLPT3W38wl","fld98q4UIZsPdPN7s","preference_key","singleLineText","88","0","88","0",,"no_change",,
"Operator Preferences","tblnxZ3eLPT3W38wl","fldPJYR8l2121YWnU","preference_statement","multilineText","88","0","88","0",,"no_change",,
"Operator Preferences","tblnxZ3eLPT3W38wl","fldrn5iy2nP2Cl4O8","effective_behavior","multilineText","88","4","84","0.0455",,"no_change",,
"Operator Preferences","tblnxZ3eLPT3W38wl","fld7Rft4ETD9YEhWd","source_session_id","singleLineText","88","37","51","0.4205",,"no_change",,
"Operator Preferences","tblnxZ3eLPT3W38wl","fldfczItHTqUBD8Uz","source_checkpoint_id","singleLineText","88","78","10","0.8864",,"no_change",,
"Operator Preferences","tblnxZ3eLPT3W38wl","fldM4hPeocI2HBD7B","source_idea_id","singleLineText","88","86","2","0.9773",,"no_change",,
"Operator Preferences","tblnxZ3eLPT3W38wl","fldUfJqMMZgXsQHEA","last_confirmed_text","singleLineText","88","2","86","0.0227",,"no_change",,
"Operator Preferences","tblnxZ3eLPT3W38wl","fldNyvY56RV3t2rZg","notes","multilineText","88","1","87","0.0114",,"no_change",,
"Operator Preferences","tblnxZ3eLPT3W38wl","flduNdYW7z4hgyuNl","created_at","dateTime","88","28","60","0.3182",,"no_change",,
