table_name,table_id,view_name,filter_count,sort_count
"Admin Registry","tblFaJW1V2DPc9css","WBS09 - Active Registry","1","1"
"Admin Registry","tblFaJW1V2DPc9css","WBS09 - Governance Matrix","1","1"
"Admin Registry","tblFaJW1V2DPc9css","WBS09 - Review Due","1","1"
"DCOIR Lifecycle Ledger","tblNsjkGUUIdRpHuE","WBS09 - Recent Lifecycle Events","0","1"
"DCOIR Lifecycle Ledger","tblNsjkGUUIdRpHuE","WBS09 - Migration Events","1","1"
"DCOIR Lifecycle Ledger","tblNsjkGUUIdRpHuE","WBS09 - By Source Table","0","2"
"Local Configuration Registry","tblcJxCoYGpEda0FM","WBS09 - Active Config Names","1","1"
"Local Configuration Registry","tblcJxCoYGpEda0FM","WBS09 - Confirmed Present","1","1"
"Local Configuration Registry","tblcJxCoYGpEda0FM","WBS09 - Review Due","1","1"
"Operator Tools Registry","tblF1SCJBHRFUhpzi","WBS09 - Active Tools","2","1"
"Operator Tools Registry","tblF1SCJBHRFUhpzi","WBS09 - Blocked or Deprecated","1","1"
"Operator Tools Registry","tblF1SCJBHRFUhpzi","WBS09 - Validation Due","1","1"
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","WBS09 - Active or Planned WBS","1","1"
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","WBS09 - Approval Gates","1","1"
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","WBS09 - Blocked Review","1","1"
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","WBS09 - Current Plan Rows","1","1"
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","WBS09 - Active Scaffolds","1","1"
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","WBS09 - Disposition Review","1","1"
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","WBS09 - Review Due","1","1"
