COMMAND=C:\Fixture\dcoir\out\DCOIR_FIXTURE_HOST_fixture179_t2_20260531_175810\tools\pipelist64.exe -accepteula -nobanner
EXIT_CODE=0

STDOUT:
Pipe Name                                    Instances       Max Instances
LOCAL\mojo.35948.27996.5403378224058532162          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-3251537155-1984446955-2931258699-841473695-1938553385-924012159-129201922\mojo.45932.30888.13601112508574628997          1                1      
LOCAL\mojo.35948.27996.101434827693183326          1                1      
LOCAL\mojo.35948.27996.697988894525574642          1                1      
LOCAL\mojo.35948.27996.11086237446919253517          1                1      
LOCAL\mojo.35948.27996.16117101057840235559          1                1      
LOCAL\mojo.35948.27996.3587813490580225359          1                1      
LOCAL\mojo.35948.23744.12164700375717012273          1                1      
LOCAL\mojo.35948.27996.7003526811313964811          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-3251537155-1984446955-2931258699-841473695-1938553385-924012159-129201922\mojo.10352.20676.4110724144973356030          1                1      
LOCAL\mojo.35948.27996.3052667925987673368          1                1      
LOCAL\mojo.35948.23744.15275423555134810826          1                1      
LOCAL\mojo.35948.27996.17871471275917664918          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-3251537155-1984446955-2931258699-841473695-1938553385-924012159-129201922\mojo.39980.17532.16025979697596785425          1                1      
LOCAL\mojo.35948.27996.7880547077890602635          1                1      
LOCAL\mojo.35948.27996.4202848538710315316          1                1      
LOCAL\mojo.35948.27996.17814590493406362761          1                1      
PSHost.134247164942206387.35312.DefaultAppDomain.powershell          1                1      
LOCAL\mojo.35948.23744.15917284073524135195          1                1      
LOCAL\mojo.35948.27996.1279437576436692958          1                1      
Sessions\3\AppContainerNamedObjects\S-1-15-2-3251537155-1984446955-2931258699-841473695-1938553385-924012159-129201922\mojo.44648.19016.7459459424479244827          1                1      
PSHost.134247166905288122.28620.DefaultAppDomain.powershell          1                1      


STDERR:

